"method","subsample","event_date","mean_car","se","boot_se","lo","hi","n","metric"
"SC","Cash merger",203,-0.274355304466877,0.00480282272355375,0.0484092099688823,-0.379668010566675,-0.182548530225244,9261,"log"
"SC","Cash merger",204,-0.276158264220352,0.00481939520635061,0.048586901593079,-0.381694882008129,-0.184483094901496,9261,"log"
"SC","Cash merger",205,-0.277645561357967,0.00484504398582239,0.048895753753956,-0.384068322879811,-0.18511716827768,9261,"log"
"SC","Cash merger",206,-0.279271979212319,0.00486072373317517,0.0491268202687653,-0.386349566734087,-0.186625689136835,9261,"log"
"SC","Cash merger",207,-0.280373471671173,0.00487966092364798,0.0493185471790891,-0.387865844584962,-0.18743246644238,9261,"log"
"SC","Cash merger",208,-0.282756362879814,0.00489539474818616,0.04973857677461,-0.39130418202669,-0.189049862725973,9261,"log"
"SC","Cash merger",209,-0.284539211185341,0.00492043730433579,0.0500559747756053,-0.393850000495201,-0.190439777713297,9261,"log"
"SC","Cash merger",210,-0.285975476126275,0.00493811172457238,0.0503122449099183,-0.395685058654432,-0.191592829817833,9261,"log"
"SC","Cash merger",211,-0.287471212392991,0.00494526305761116,0.0505105951799601,-0.398038151532737,-0.192731019999624,9261,"log"
"SC","Cash merger",212,-0.28924990022205,0.00496897180818314,0.0508485552844456,-0.400406745082923,-0.193322898408255,9261,"log"
"SC","Cash merger",213,-0.291121607721474,0.00498661415735961,0.0511299483469709,-0.402816372940285,-0.194856896092412,9261,"log"
"SC","Cash merger",214,-0.292467465384455,0.00500756679508452,0.0513539006273908,-0.404920256941085,-0.195988181777927,9261,"log"
"SC","Cash merger",215,-0.293436344190545,0.00500840697327058,0.0513880223393662,-0.40553855232638,-0.197022489604651,9261,"log"
"SC","Cash merger",216,-0.295396831254087,0.00502676560882061,0.0516841510669556,-0.408122144959845,-0.198602437949129,9261,"log"
"SC","Cash merger",217,-0.296666841839241,0.00503807705998112,0.0518113006719904,-0.409239823714578,-0.199871795168621,9261,"log"
"SC","Cash merger",218,-0.29819520881829,0.00504996512678491,0.052043550707974,-0.410906791870592,-0.200866629645577,9261,"log"
"SC","Cash merger",219,-0.299660828076127,0.0050703831757949,0.0523137375937549,-0.412728602401466,-0.202014024500467,9261,"log"
"SC","Cash merger",220,-0.30093814464647,0.00509335062451085,0.0526400492651615,-0.415188749921828,-0.202376698995252,9261,"log"
"SC","Cash merger",221,-0.302391714837772,0.00511022813428067,0.0529133884292732,-0.416963836111261,-0.203182435684243,9261,"log"
